Store,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature_(C),Fuel_Price,CPI,Unemployment
1,8,4,2011,"$1,614,259.35 ",0,19.91,$3.62 ,215.07,7.68
1,15,4,2011,"$1,559,889.00 ",0,21.82,$3.74 ,215.29,7.68
1,22,4,2011,"$1,564,819.81 ",0,22.77,$3.81 ,215.46,7.68
1,29,4,2011,"$1,455,090.69 ",0,22.24,$3.81 ,215.63,7.68
1,6,5,2011,"$1,629,391.28 ",0,18.12,$3.91 ,215.8,7.68
1,13,5,2011,"$1,604,775.58 ",0,24.24,$3.90 ,215.96,7.68
1,20,5,2011,"$1,428,218.27 ",0,19.79,$3.91 ,215.73,7.68
1,27,5,2011,"$1,466,046.67 ",0,25.4,$3.79 ,215.5,7.68
1,3,6,2011,"$1,635,078.41 ",0,28.33,$3.70 ,215.27,7.68
1,10,6,2011,"$1,588,948.32 ",0,28.41,$3.65 ,215.04,7.68
1,17,6,2011,"$1,532,114.86 ",0,30.23,$3.64 ,215,7.68
1,24,6,2011,"$1,438,830.15 ",0,28.66,$3.59 ,215.09,7.68
1,1,7,2011,"$1,488,538.09 ",0,29.75,$3.52 ,215.18,7.96
1,8,7,2011,"$1,534,849.64 ",0,29.91,$3.48 ,215.28,7.96
1,15,7,2011,"$1,455,119.97 ",0,31.41,$3.58 ,215.36,7.96
1,22,7,2011,"$1,396,926.82 ",0,29.87,$3.65 ,215.42,7.96
1,29,7,2011,"$1,352,219.79 ",0,30.46,$3.68 ,215.48,7.96
1,5,8,2011,"$1,624,383.75 ",0,33.14,$3.68 ,215.54,7.96
1,12,8,2011,"$1,525,147.09 ",0,32.64,$3.64 ,215.61,7.96
1,19,8,2011,"$1,530,761.43 ",0,32.19,$3.55 ,215.67,7.96
1,26,8,2011,"$1,464,693.46 ",0,31.09,$3.52 ,215.73,7.96
1,2,9,2011,"$1,550,229.22 ",0,31.02,$3.53 ,215.8,7.96
1,9,9,2011,"$1,540,471.24 ",1,24.44,$3.55 ,215.86,7.96
1,16,9,2011,"$1,514,259.78 ",0,26.63,$3.53 ,216.04,7.96
1,23,9,2011,"$1,380,020.27 ",0,24.33,$3.47 ,216.38,7.96
1,30,9,2011,"$1,394,561.83 ",0,26.49,$3.36 ,216.71,7.96
1,7,10,2011,"$1,630,989.95 ",0,20.73,$3.29 ,217.05,7.87
1,14,10,2011,"$1,493,525.93 ",0,22.08,$3.27 ,217.36,7.87
1,21,10,2011,"$1,502,562.78 ",0,17.62,$3.35 ,217.52,7.87
1,28,10,2011,"$1,445,249.09 ",0,19.21,$3.37 ,217.68,7.87
1,4,11,2011,"$1,697,229.58 ",0,12.77,$3.33 ,217.84,7.87
1,11,11,2011,"$1,594,938.89 ",0,15.06,$3.30 ,218,7.87
1,18,11,2011,"$1,539,483.70 ",0,16.81,$3.31 ,218.22,7.87
1,25,11,2011,"$2,033,320.66 ",1,15.63,$3.24 ,218.47,7.87
1,2,12,2011,"$1,584,083.95 ",0,9.39,$3.17 ,218.71,7.87
1,9,12,2011,"$1,799,682.38 ",0,6.63,$3.16 ,218.96,7.87
1,16,12,2011,"$1,881,176.67 ",0,10.91,$3.16 ,219.18,7.87
1,23,12,2011,"$2,270,188.99 ",0,8.87,$3.11 ,219.36,7.87
1,30,12,2011,"$1,497,462.72 ",1,6.97,$3.13 ,219.54,7.87
1,6,1,2012,"$1,550,369.92 ",0,9.45,$3.16 ,219.71,7.35
1,13,1,2012,"$1,459,601.17 ",0,9.18,$3.26 ,219.89,7.35
1,20,1,2012,"$1,394,393.84 ",0,12.28,$3.27 ,219.99,7.35
1,27,1,2012,"$1,319,325.59 ",0,12.37,$3.29 ,220.08,7.35
1,3,2,2012,"$1,636,339.65 ",0,13.64,$3.36 ,220.17,7.35
1,10,2,2012,"$1,802,477.43 ",1,8.9,$3.41 ,220.27,7.35
1,17,2,2012,"$1,819,870.00 ",0,7.4,$3.51 ,220.43,7.35
1,24,2,2012,"$1,539,387.83 ",0,14.03,$3.56 ,220.64,7.35
1,2,3,2012,"$1,688,420.76 ",0,16.09,$3.63 ,220.85,7.35
1,9,3,2012,"$1,675,431.16 ",0,14.87,$3.67 ,221.06,7.35
1,16,3,2012,"$1,677,472.78 ",0,18.19,$3.73 ,221.21,7.35
1,23,3,2012,"$1,511,068.07 ",0,18.85,$3.79 ,221.29,7.35
1,30,3,2012,"$1,649,604.63 ",0,19.78,$3.85 ,221.36,7.35
1,6,4,2012,"$1,899,676.88 ",0,21.35,$3.89 ,221.44,7.14
1,13,4,2012,"$1,621,031.70 ",0,20.59,$3.89 ,221.51,7.14
1,20,4,2012,"$1,521,577.87 ",0,19.31,$3.88 ,221.56,7.14
1,27,4,2012,"$1,468,928.37 ",0,19.57,$3.81 ,221.62,7.14
1,4,5,2012,"$1,684,519.99 ",0,24.19,$3.75 ,221.67,7.14
1,11,5,2012,"$1,611,096.05 ",0,23.21,$3.69 ,221.73,7.14
1,18,5,2012,"$1,595,901.87 ",0,21.29,$3.63 ,221.74,7.14
1,25,5,2012,"$1,555,444.55 ",0,25.12,$3.56 ,221.74,7.14
1,1,6,2012,"$1,624,477.58 ",0,25.53,$3.50 ,221.75,7.14
1,8,6,2012,"$1,697,230.96 ",0,25.72,$3.45 ,221.75,7.14
1,15,6,2012,"$1,630,607.00 ",0,26.31,$3.39 ,221.76,7.14
1,22,6,2012,"$1,527,845.81 ",0,25.77,$3.35 ,221.8,7.14
1,29,6,2012,"$1,540,421.49 ",0,29.38,$3.29 ,221.84,7.14
1,6,7,2012,"$1,769,854.16 ",0,27.54,$3.23 ,221.88,6.91
1,13,7,2012,"$1,527,014.04 ",0,25.07,$3.26 ,221.92,6.91
1,20,7,2012,"$1,497,954.76 ",0,26.9,$3.31 ,221.93,6.91
1,27,7,2012,"$1,439,123.71 ",0,28.14,$3.41 ,221.94,6.91
1,3,8,2012,"$1,631,135.79 ",0,30.06,$3.42 ,221.95,6.91
1,10,8,2012,"$1,592,409.97 ",0,29.47,$3.49 ,221.96,6.91
1,17,8,2012,"$1,597,868.05 ",0,29.36,$3.57 ,222.04,6.91
1,24,8,2012,"$1,494,122.38 ",0,25.37,$3.62 ,222.17,6.91
1,31,8,2012,"$1,582,083.40 ",0,26.94,$3.64 ,222.31,6.91
1,7,9,2012,"$1,661,767.33 ",1,28.87,$3.73 ,222.44,6.91
1,14,9,2012,"$1,517,428.87 ",0,23.87,$3.72 ,222.58,6.91
1,21,9,2012,"$1,506,126.06 ",0,21.04,$3.72 ,222.78,6.91
1,28,9,2012,"$1,437,059.26 ",0,24.49,$3.67 ,222.98,6.91
1,5,10,2012,"$1,670,785.97 ",0,20.31,$3.62 ,223.18,6.57
1,12,10,2012,"$1,573,072.81 ",0,17.22,$3.60 ,223.38,6.57
1,19,10,2012,"$1,508,068.77 ",0,19.98,$3.59 ,223.43,6.57
1,26,10,2012,"$1,493,659.74 ",0,20.64,$3.51 ,223.44,6.57
2,5,2,2010,"$2,136,989.46 ",0,4.55,$2.57 ,210.75,8.32
2,12,2,2010,"$2,137,809.50 ",1,3.61,$2.55 ,210.9,8.32
2,19,2,2010,"$2,124,451.54 ",0,4.27,$2.51 ,210.95,8.32
2,26,2,2010,"$1,865,097.27 ",0,7.83,$2.56 ,210.98,8.32
2,5,3,2010,"$1,991,013.13 ",0,8.43,$2.63 ,211.01,8.32
2,12,3,2010,"$1,990,483.78 ",0,14.2,$2.67 ,211.04,8.32
2,19,3,2010,"$1,946,070.88 ",0,12.51,$2.72 ,210.87,8.32
2,26,3,2010,"$1,750,197.81 ",0,10.7,$2.73 ,210.68,8.32
2,2,4,2010,"$2,066,187.72 ",0,17.37,$2.72 ,210.48,8.2
2,9,4,2010,"$1,954,689.21 ",0,18.56,$2.77 ,210.28,8.2
2,16,4,2010,"$1,874,957.94 ",0,20.04,$2.81 ,210.15,8.2
2,23,4,2010,"$1,821,990.93 ",0,18.39,$2.80 ,210.1,8.2
2,30,4,2010,"$1,802,450.29 ",0,19.43,$2.78 ,210.05,8.2
2,7,5,2010,"$2,042,581.71 ",0,21.82,$2.84 ,210,8.2
2,14,5,2010,"$1,880,752.36 ",0,22.95,$2.85 ,210,8.2
2,21,5,2010,"$1,896,937.10 ",0,23.79,$2.83 ,210.28,8.2
2,28,5,2010,"$1,957,113.89 ",0,27.29,$2.76 ,210.56,8.2
2,4,6,2010,"$2,102,539.93 ",0,27.67,$2.71 ,210.83,8.2
2,11,6,2010,"$2,025,538.76 ",0,28.56,$2.67 ,211.11,8.2
2,18,6,2010,"$2,001,636.96 ",0,29.89,$2.64 ,211.11,8.2
2,25,6,2010,"$1,939,927.09 ",0,30.14,$2.65 ,211,8.2
2,2,7,2010,"$2,003,940.64 ",0,28.19,$2.67 ,210.88,8.1
2,9,7,2010,"$1,880,902.62 ",0,28.11,$2.64 ,210.77,8.1
2,16,7,2010,"$1,845,879.79 ",0,29.62,$2.62 ,210.76,8.1
2,23,7,2010,"$1,781,717.71 ",0,30.92,$2.61 ,210.89,8.1
2,30,7,2010,"$1,804,246.16 ",0,28.61,$2.64 ,211.03,8.1
2,6,8,2010,"$1,991,909.98 ",0,31.96,$2.63 ,211.16,8.1
2,13,8,2010,"$1,895,601.05 ",0,31.69,$2.69 ,211.3,8.1
2,20,8,2010,"$1,964,335.23 ",0,31.5,$2.66 ,211.26,8.1
2,27,8,2010,"$1,863,840.49 ",0,30.62,$2.62 ,211.22,8.1
2,3,9,2010,"$1,904,608.09 ",0,27.68,$2.58 ,211.19,8.1
2,10,9,2010,"$1,839,128.83 ",1,26.16,$2.57 ,211.15,8.1
2,17,9,2010,"$1,793,903.60 ",0,27.81,$2.58 ,211.18,8.1
2,24,9,2010,"$1,724,557.22 ",0,27.66,$2.62 ,211.26,8.1
2,1,10,2010,"$1,827,440.43 ",0,20.69,$2.60 ,211.33,8.16
2,8,10,2010,"$1,849,921.44 ",0,17.33,$2.63 ,211.4,8.16
2,15,10,2010,"$1,794,355.49 ",0,18.78,$2.72 ,211.47,8.16
2,22,10,2010,"$1,737,947.64 ",0,20.28,$2.73 ,211.52,8.16
2,29,10,2010,"$1,802,755.11 ",0,19.02,$2.72 ,211.57,8.16
2,5,11,2010,"$1,939,061.41 ",0,14.36,$2.69 ,211.61,8.16
2,12,11,2010,"$1,916,812.74 ",0,15.38,$2.73 ,211.66,8.16
2,19,11,2010,"$1,956,739.17 ",0,10.45,$2.77 ,211.55,8.16
2,26,11,2010,"$2,658,725.29 ",1,17.21,$2.74 ,211.41,8.16
2,3,12,2010,"$2,015,781.27 ",0,9.63,$2.71 ,211.27,8.16
2,10,12,2010,"$2,378,726.55 ",0,7.5,$2.84 ,211.12,8.16
2,17,12,2010,"$2,609,166.75 ",0,8.64,$2.87 ,211.06,8.16
2,31,12,2010,"$1,750,434.55 ",1,8.5,$2.94 ,211.06,8.16
2,7,1,2011,"$1,758,050.79 ",0,7.05,$2.98 ,211.06,8.03
2,14,1,2011,"$1,744,193.58 ",0,0.57,$2.98 ,211.12,8.03
2,21,1,2011,"$1,751,384.90 ",0,5.22,$3.02 ,211.49,8.03
2,28,1,2011,"$1,695,371.68 ",0,6.02,$3.01 ,211.86,8.03
2,4,2,2011,"$1,929,346.23 ",0,3.47,$2.99 ,212.22,8.03
2,11,2,2011,"$2,168,041.61 ",1,0.66,$3.02 ,212.59,8.03
2,18,2,2011,"$2,080,884.82 ",0,14.35,$3.05 ,212.9,8.03
2,25,2,2011,"$1,833,511.08 ",0,16,$3.07 ,213.19,8.03
2,4,3,2011,"$1,981,607.78 ",0,14.32,$3.29 ,213.48,8.03
2,11,3,2011,"$1,879,107.31 ",0,11.5,$3.46 ,213.76,8.03
2,18,3,2011,"$1,902,557.66 ",0,16.84,$3.49 ,214.02,8.03
2,25,3,2011,"$1,766,162.05 ",0,20.79,$3.47 ,214.25,8.03
2,1,4,2011,"$1,800,171.36 ",0,13.02,$3.52 ,214.49,7.93
2,8,4,2011,"$1,847,552.61 ",0,19.44,$3.62 ,214.73,7.93
2,15,4,2011,"$1,856,467.84 ",0,20.82,$3.74 ,214.94,7.93
2,22,4,2011,"$1,886,339.60 ",0,20.77,$3.81 ,215.11,7.93
2,29,4,2011,"$1,745,545.28 ",0,20.67,$3.81 ,215.28,7.93
2,6,5,2011,"$1,837,743.60 ",0,16.38,$3.91 ,215.44,7.93
2,13,5,2011,"$1,838,513.07 ",0,23.67,$3.90 ,215.61,7.93
2,20,5,2011,"$1,688,281.86 ",0,19.52,$3.91 ,215.38,7.93
2,27,5,2011,"$1,797,732.56 ",0,24.68,$3.79 ,215.15,7.93
2,3,6,2011,"$1,933,756.21 ",0,28.37,$3.70 ,214.93,7.93
2,10,6,2011,"$1,929,153.16 ",0,28.56,$3.65 ,214.7,7.93
2,17,6,2011,"$1,953,771.99 ",0,30.29,$3.64 ,214.65,7.93
2,24,6,2011,"$1,790,925.80 ",0,29.54,$3.59 ,214.74,7.93
2,1,7,2011,"$1,866,243.00 ",0,29.83,$3.52 ,214.84,7.85
2,8,7,2011,"$1,853,161.99 ",0,30.94,$3.48 ,214.93,7.85
2,15,7,2011,"$1,785,187.29 ",0,32.13,$3.58 ,215.01,7.85
2,22,7,2011,"$1,743,816.41 ",0,31.86,$3.65 ,215.07,7.85
2,29,7,2011,"$1,680,693.06 ",0,32.26,$3.68 ,215.14,7.85
2,5,8,2011,"$1,876,704.26 ",0,34.08,$3.68 ,215.2,7.85
2,12,8,2011,"$1,812,768.26 ",0,33.1,$3.64 ,215.26,7.85
2,19,8,2011,"$1,844,094.59 ",0,32.14,$3.55 ,215.32,7.85
2,26,8,2011,"$1,821,139.91 ",0,32.47,$3.52 ,215.39,7.85
2,2,9,2011,"$1,809,119.70 ",0,32.02,$3.53 ,215.45,7.85
2,9,9,2011,"$1,748,000.65 ",1,25.54,$3.55 ,215.51,7.85
2,16,9,2011,"$1,691,439.52 ",0,26.03,$3.53 ,215.69,7.85
2,23,9,2011,"$1,669,299.78 ",0,24.21,$3.47 ,216.03,7.85
2,30,9,2011,"$1,650,394.44 ",0,25.63,$3.36 ,216.36,7.85
2,7,10,2011,"$1,837,553.43 ",0,21.07,$3.29 ,216.7,7.44
2,14,10,2011,"$1,743,882.19 ",0,22.04,$3.27 ,217,7.44
2,21,10,2011,"$1,834,680.25 ",0,18.07,$3.35 ,217.17,7.44
2,28,10,2011,"$1,769,296.25 ",0,18.82,$3.37 ,217.33,7.44
2,4,11,2011,"$1,959,707.90 ",0,13.07,$3.33 ,217.49,7.44
2,11,11,2011,"$1,920,725.15 ",0,15.18,$3.30 ,217.65,7.44
2,18,11,2011,"$1,902,762.50 ",0,16.67,$3.31 ,217.87,7.44
2,25,11,2011,"$2,614,202.30 ",1,13.53,$3.24 ,218.11,7.44
2,2,12,2011,"$1,954,952.00 ",0,9.3,$3.17 ,218.36,7.44
2,9,12,2011,"$2,290,549.32 ",0,5.42,$3.16 ,218.61,7.44
2,16,12,2011,"$2,432,736.52 ",0,10.07,$3.16 ,218.82,7.44
2,30,12,2011,"$1,874,226.52 ",1,6.98,$3.13 ,219.18,7.44
2,6,1,2012,"$1,799,520.14 ",0,8.19,$3.16 ,219.36,7.06
2,13,1,2012,"$1,744,725.48 ",0,7.77,$3.26 ,219.53,7.06
2,20,1,2012,"$1,711,769.11 ",0,10.94,$3.27 ,219.63,7.06
2,27,1,2012,"$1,660,906.14 ",0,10.28,$3.29 ,219.72,7.06
2,3,2,2012,"$1,935,299.94 ",0,12.89,$3.36 ,219.81,7.06
2,10,2,2012,"$2,103,322.68 ",1,8.32,$3.41 ,219.9,7.06
2,17,2,2012,"$2,196,688.46 ",0,6.57,$3.51 ,220.07,7.06
2,24,2,2012,"$1,861,802.70 ",0,12.57,$3.56 ,220.28,7.06
2,2,3,2012,"$1,952,555.66 ",0,14.88,$3.63 ,220.49,7.06
2,9,3,2012,"$1,937,628.26 ",0,13.95,$3.67 ,220.7,7.06
2,16,3,2012,"$1,976,082.13 ",0,17.6,$3.73 ,220.85,7.06
2,23,3,2012,"$1,790,439.16 ",0,17.78,$3.79 ,220.92,7.06
2,30,3,2012,"$1,857,480.84 ",0,19.35,$3.85 ,221,7.06
2,6,4,2012,"$2,129,035.91 ",0,20.24,$3.89 ,221.07,6.89
2,13,4,2012,"$1,935,869.10 ",0,20.04,$3.89 ,221.15,6.89
2,20,4,2012,"$1,847,344.45 ",0,18.72,$3.88 ,221.2,6.89
2,27,4,2012,"$1,764,133.09 ",0,19.56,$3.81 ,221.26,6.89
2,4,5,2012,"$1,923,957.09 ",0,24.85,$3.75 ,221.31,6.89
2,11,5,2012,"$1,917,520.99 ",0,23.26,$3.69 ,221.36,6.89
2,18,5,2012,"$2,000,940.67 ",0,21.82,$3.63 ,221.38,6.89
2,25,5,2012,"$1,912,791.09 ",0,25.66,$3.56 ,221.38,6.89
2,1,6,2012,"$1,910,092.37 ",0,25.77,$3.50 ,221.39,6.89
2,8,6,2012,"$2,010,216.49 ",0,25.94,$3.45 ,221.39,6.89
2,15,6,2012,"$1,962,924.30 ",0,26.98,$3.39 ,221.4,6.89
2,22,6,2012,"$1,887,733.21 ",0,27.24,$3.35 ,221.44,6.89
2,29,6,2012,"$1,881,046.12 ",0,30.18,$3.29 ,221.48,6.89
2,6,7,2012,"$2,041,507.40 ",0,29,$3.23 ,221.52,6.57
2,13,7,2012,"$1,830,075.13 ",0,26.76,$3.26 ,221.56,6.57
2,20,7,2012,"$1,819,666.46 ",0,28.46,$3.31 ,221.57,6.57
2,27,7,2012,"$1,757,923.88 ",0,30.21,$3.41 ,221.58,6.57
2,3,8,2012,"$1,946,104.64 ",0,32.34,$3.42 ,221.59,6.57
2,10,8,2012,"$1,866,719.96 ",0,31.42,$3.49 ,221.6,6.57
2,17,8,2012,"$1,928,016.01 ",0,29.33,$3.57 ,221.68,6.57
2,24,8,2012,"$1,876,788.15 ",0,24.95,$3.62 ,221.81,6.57
2,31,8,2012,"$1,947,083.30 ",0,28.13,$3.64 ,221.94,6.57
2,7,9,2012,"$1,898,777.07 ",1,30.92,$3.73 ,222.07,6.57
2,14,9,2012,"$1,814,806.63 ",0,24.38,$3.72 ,222.22,6.57
2,21,9,2012,"$1,829,415.67 ",0,21.72,$3.72 ,222.42,6.57
2,28,9,2012,"$1,746,470.56 ",0,26.36,$3.67 ,222.62,6.57
2,5,10,2012,"$1,998,321.04 ",0,21.26,$3.62 ,222.82,6.17
2,12,10,2012,"$1,900,745.13 ",0,16.09,$3.60 ,223.02,6.17
2,19,10,2012,"$1,847,990.41 ",0,20.04,$3.59 ,223.06,6.17
2,26,10,2012,"$1,834,458.35 ",0,20.99,$3.51 ,223.08,6.17
3,5,2,2010,"$461,622.22 ",0,7.62,$2.57 ,214.42,7.37
3,12,2,2010,"$420,728.96 ",1,8.85,$2.55 ,214.57,7.37
3,19,2,2010,"$421,642.19 ",0,8.37,$2.51 ,214.62,7.37
3,26,2,2010,"$407,204.86 ",0,11.14,$2.56 ,214.65,7.37
3,5,3,2010,"$415,202.04 ",0,11.69,$2.63 ,214.68,7.37
3,12,3,2010,"$384,200.69 ",0,17.27,$2.67 ,214.7,7.37
3,19,3,2010,"$375,328.59 ",0,15.79,$2.72 ,214.53,7.37
3,26,3,2010,"$359,949.27 ",0,13.92,$2.73 ,214.32,7.37
3,2,4,2010,"$423,294.40 ",0,18.64,$2.72 ,214.12,7.34
3,9,4,2010,"$415,870.28 ",0,20,$2.77 ,213.91,7.34
3,16,4,2010,"$354,993.26 ",0,19.43,$2.81 ,213.77,7.34
3,23,4,2010,"$339,976.65 ",0,19.93,$2.80 ,213.72,7.34
3,30,4,2010,"$361,248.39 ",0,21.24,$2.78 ,213.67,7.34
3,7,5,2010,"$399,323.86 ",0,23.04,$2.84 ,213.62,7.34
3,14,5,2010,"$384,357.94 ",0,25.1,$2.85 ,213.62,7.34
3,21,5,2010,"$343,763.17 ",0,24.34,$2.83 ,213.91,7.34
3,28,5,2010,"$350,089.23 ",0,25.89,$2.76 ,214.2,7.34
3,4,6,2010,"$396,968.80 ",0,25.85,$2.71 ,214.5,7.34
3,11,6,2010,"$355,017.09 ",0,27.83,$2.67 ,214.79,7.34
3,18,6,2010,"$364,076.85 ",0,28.62,$2.64 ,214.79,7.34
3,25,6,2010,"$357,346.48 ",0,28.77,$2.65 ,214.67,7.34
3,2,7,2010,"$381,151.72 ",0,27.89,$2.67 ,214.55,7.35
3,9,7,2010,"$349,214.18 ",0,27.64,$2.64 ,214.43,7.35
3,16,7,2010,"$352,728.78 ",0,29.07,$2.62 ,214.42,7.35
3,23,7,2010,"$352,864.49 ",0,28.51,$2.61 ,214.56,7.35
3,30,7,2010,"$347,955.05 ",0,27.8,$2.64 ,214.7,7.35
3,6,8,2010,"$402,635.76 ",0,29.52,$2.63 ,214.83,7.35
3,13,8,2010,"$339,597.38 ",0,30.41,$2.69 ,214.97,7.35
3,20,8,2010,"$351,728.21 ",0,31.12,$2.66 ,214.93,7.35
3,27,8,2010,"$362,134.09 ",0,30.08,$2.62 ,214.89,7.35
3,3,9,2010,"$366,473.97 ",0,28.98,$2.58 ,214.85,7.35
3,10,9,2010,"$352,260.97 ",1,27.13,$2.57 ,214.81,7.35
3,17,9,2010,"$363,064.64 ",0,27.98,$2.58 ,214.83,7.35
3,24,9,2010,"$355,626.87 ",0,24.94,$2.62 ,214.91,7.35
3,1,10,2010,"$358,784.10 ",0,23.11,$2.60 ,214.98,7.56
3,8,10,2010,"$395,107.35 ",0,19.44,$2.63 ,215.06,7.56
3,15,10,2010,"$345,584.39 ",0,20.95,$2.72 ,215.13,7.56
3,22,10,2010,"$348,895.98 ",0,22.02,$2.73 ,215.18,7.56
3,29,10,2010,"$348,591.74 ",0,22.24,$2.72 ,215.23,7.56
3,5,11,2010,"$423,175.56 ",0,17.19,$2.69 ,215.28,7.56
3,12,11,2010,"$386,635.03 ",0,17.11,$2.73 ,215.33,7.56
3,19,11,2010,"$372,545.32 ",0,14.29,$2.77 ,215.21,7.56
3,26,11,2010,"$565,567.84 ",1,20.39,$2.74 ,215.06,7.56
3,3,12,2010,"$476,420.77 ",0,12.09,$2.71 ,214.92,7.56
3,10,12,2010,"$467,642.03 ",0,10.63,$2.84 ,214.77,7.56
3,17,12,2010,"$498,159.39 ",0,11.22,$2.87 ,214.7,7.56
3,24,12,2010,"$605,990.41 ",0,13.98,$2.89 ,214.7,7.56
3,31,12,2010,"$382,677.76 ",1,11.78,$2.94 ,214.7,7.56
3,7,1,2011,"$378,241.34 ",0,11.86,$2.98 ,214.7,7.55
